,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Sequel
50,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,1
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,0
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,0
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,0
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,0
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,1
56,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,0
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,0
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,0
59,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,0
60,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,0
61,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,1
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,0
63,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,0
64,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,0
65,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,0
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0,343 Industries,M,0
67,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9,135.0,Polyphony Digital,T,1
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,1
69,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,0
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,0
71,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,0
72,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,0
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,0
74,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,0
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,0
76,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,0
77,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,0
78,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,0
79,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,0
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,0
81,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,0
82,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,0
83,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,0
84,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,0
85,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,1
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,0
87,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,0
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,1
89,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,,0
90,Pok?mon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,0
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,0
92,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,1
93,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,0
94,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E,0
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,1
96,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,0
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,1
98,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,1
99,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,,1
100,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,0
101,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,0
102,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,0
103,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8,110.0,Ubisoft Paris,E10+,0
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,0
105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,0
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,1
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9,1658.0,Nintendo,T,0
108,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,,0
109,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,1
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,0
111,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,0
112,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,,0
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,1
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T,0
115,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,,0
116,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,1
117,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,1
118,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,0
119,Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,,,tbd,,"Pipeworks Software, Inc.",E,0
120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,0
121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,0
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,,0
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E,0
124,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,,0
125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,0
126,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E,0
127,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,1
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,0
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M,0
130,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,0
131,Pok?mon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9,222.0,Game Freak,E,0
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,E,0
133,Pok?mon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,,0
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,1
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0,Rockstar San Diego,M,0
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E,0
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,,,0
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,0
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,T,1
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,M,1
141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,0
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,M,0
143,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E,0
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ,M,0
145,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,,,,,,1
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ,M,0
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,M,0
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix,T,1
149,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,M,0
150,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,0
151,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,M,1
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5,E10+,0
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco,T,1
154,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,0
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,0
156,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation,E,0
157,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,,0
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,,0
159,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,1
160,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,0
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8,516.0,Turn 10,E,0
162,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo,E,0
163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,T,1
164,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,0
165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,M,0
166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,E,0
167,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,,0
168,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,,0
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,E,0
170,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,M,0
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,T,0
172,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,,,,,,,0
173,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,T,0
174,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,,0
175,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,T,0
176,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,1
177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,T,1
178,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,,0
179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,M,1
180,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,,,,,,,0
181,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,1
182,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,,,Core Design Ltd.,T,1
183,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E,0
